No;Periode;Akses;aging;Customer_type;subscribe;order;Tagihan
412;202003;1500237;225;Bank & Finance;190;12;17000000
585;202004;1500237;101;Bank & Finance;190;12;17000000
753;202005;1500237;64;Bank & Finance;190;12;17000000
945;202006;1500237;11;Bank & Finance;190;12;17000000
1148;202007;1500237;3;Bank & Finance;190;12;17000000
1347;202008;1500237;4;Bank & Finance;190;12;17000000
1503;202009;1500237;44;Bank & Finance;190;12;17000000
1697;202010;1500237;2;Bank & Finance;190;12;17000000
2014;202011;1500237;132;Bank & Finance;190;12;17000000
2318;202012;1500237;61;Bank & Finance;190;12;17000000
59;202001;1500238;55;KONSTRUKSI;1552;12;2000400
237;202002;1500238;22;KONSTRUKSI;1552;12;2001200
413;202003;1500238;7;KONSTRUKSI;190;12;2001700
586;202004;1500238;15;KONSTRUKSI;190;12;2000000
754;202005;1500238;52;KONSTRUKSI;190;12;2000000
946;202006;1500238;11;KONSTRUKSI;190;12;2000000
1149;202007;1500238;14;KONSTRUKSI;190;12;2008100
1348;202008;1500238;64;KONSTRUKSI;190;12;2000300
1504;202009;1500238;47;KONSTRUKSI;190;12;2001800
1698;202010;1500238;26;KONSTRUKSI;190;12;2000000
2015;202011;1500238;132;KONSTRUKSI;190;12;2000000
2319;202012;1500238;7;KONSTRUKSI;190;12;2000000
60;202001;1500239;41;Bank & Finance;1245;12;3500000
238;202002;1500239;43;Bank & Finance;1245;12;3500000
414;202003;1500239;8;Bank & Finance;190;12;3500000
587;202004;1500239;67;Bank & Finance;190;12;3500000
755;202005;1500239;58;Bank & Finance;190;12;3500000
947;202006;1500239;11;Bank & Finance;190;12;3500000
1150;202007;1500239;25;Bank & Finance;190;12;3500000
1349;202008;1500239;83;Bank & Finance;190;12;3500000
1505;202009;1500239;84;Bank & Finance;190;12;3500000
1699;202010;1500239;12;Bank & Finance;190;12;3500000
2016;202011;1500239;133;Bank & Finance;190;12;3500000
2320;202012;1500239;83;Bank & Finance;190;12;3500000
61;202001;1500248;39;Bank & Finance;1674;12;11250000
239;202002;1500248;43;Bank & Finance;1674;12;11250000
415;202003;1500248;1;Bank & Finance;190;12;11250000
588;202004;1500248;106;Bank & Finance;190;12;11250000
756;202005;1500248;56;Bank & Finance;190;12;11250000
948;202006;1500248;11;Bank & Finance;190;12;11250000
1151;202007;1500248;238;Bank & Finance;190;12;11250000
1350;202008;1500248;22;Bank & Finance;190;12;11250000
1506;202009;1500248;149;Bank & Finance;190;12;11250000
1700;202010;1500248;3;Bank & Finance;190;12;11250000
2017;202011;1500248;42;Bank & Finance;190;12;11250000
2321;202012;1500248;38;Bank & Finance;190;12;11250000
62;202001;1500255;41;RETAIL;1667;12;2407383
240;202002;1500255;36;RETAIL;1667;12;2428567
416;202003;1500255;10;RETAIL;190;12;3257550
589;202004;1500255;9;RETAIL;190;12;2570167
757;202005;1500255;63;RETAIL;190;12;2306450
949;202006;1500255;6;RETAIL;190;12;2344767
1152;202007;1500255;238;RETAIL;190;12;2379350
1351;202008;1500255;7;RETAIL;190;12;2522817
1507;202009;1500255;19;RETAIL;190;12;2632133
1701;202010;1500255;113;RETAIL;190;12;2833733
2018;202011;1500255;42;RETAIL;190;12;2830150
2322;202012;1500255;22;RETAIL;190;12;6509500
63;202001;1500257;41;Bank & Finance;979;15;11162400
241;202002;1500257;21;Bank & Finance;979;15;10788100
417;202003;1500257;87;Bank & Finance;190;15;10081000
590;202004;1500257;18;Bank & Finance;190;15;8823300
758;202005;1500257;104;Bank & Finance;190;15;7899500
950;202006;1500257;23;Bank & Finance;190;15;8834800
1153;202007;1500257;238;Bank & Finance;190;15;8750000
1284;201901;1500257;238;Bank & Finance;190;15;13026500
1285;201902;1500257;22;Bank & Finance;190;15;12388700
1286;201903;1500257;21;Bank & Finance;190;15;2000000
1352;202008;1500257;15;Bank & Finance;190;15;8177300
1508;202009;1500257;15;Bank & Finance;190;15;8446300
1702;202010;1500257;112;Bank & Finance;190;15;7700700
2019;202011;1500257;42;Bank & Finance;190;15;8066100
2323;202012;1500257;2;Bank & Finance;190;15;7418600
64;202001;1500259;41;Bank & Finance;730;13;2000000
242;202002;1500259;259;Bank & Finance;730;13;2000000
418;202003;1500259;48;Bank & Finance;190;13;2000000
591;202004;1500259;40;Bank & Finance;190;13;2000000
759;202005;1500259;19;Bank & Finance;190;13;2000000
951;202006;1500259;30;Bank & Finance;190;13;2000000
1154;202007;1500259;18;Bank & Finance;190;13;2000000
1353;202008;1500259;19;Bank & Finance;190;13;2000000
1509;202009;1500259;41;Bank & Finance;190;13;2000000
1703;202010;1500259;113;Bank & Finance;190;13;2000000
1872;201904;1500259;167;Bank & Finance;190;13;1333333
2020;202011;1500259;42;Bank & Finance;190;13;2000000
2324;202012;1500259;17;Bank & Finance;190;13;2000000
65;202001;1500260;39;Bank & Finance;2009;12;17000000
243;202002;1500260;98;Bank & Finance;2009;12;17000000
419;202003;1500260;112;Bank & Finance;190;12;17000000
592;202004;1500260;8;Bank & Finance;190;12;17000000
760;202005;1500260;64;Bank & Finance;190;12;17000000
952;202006;1500260;13;Bank & Finance;190;12;17000000
1155;202007;1500260;43;Bank & Finance;190;12;17000000
1354;202008;1500260;18;Bank & Finance;190;12;17000000
1510;202009;1500260;39;Bank & Finance;190;12;17000000
1704;202010;1500260;113;Bank & Finance;190;12;17000000
2021;202011;1500260;42;Bank & Finance;190;12;17000000
2325;202012;1500260;23;Bank & Finance;190;12;17000000
1873;201907;1500261;46;Bank & Finance;190;1;4998600
66;202001;1500268;41;Bank & Finance;2038;12;17000000
244;202002;1500268;94;Bank & Finance;2038;12;17000000
420;202003;1500268;97;Bank & Finance;190;12;17000000
593;202004;1500268;16;Bank & Finance;190;12;17000000
761;202005;1500268;118;Bank & Finance;190;12;17000000
953;202006;1500268;37;Bank & Finance;190;12;17000000
1156;202007;1500268;22;Bank & Finance;190;12;17000000
1355;202008;1500268;20;Bank & Finance;190;12;17000000
1511;202009;1500268;41;Bank & Finance;190;12;17000000
1705;202010;1500268;113;Bank & Finance;190;12;17000000
2022;202011;1500268;42;Bank & Finance;190;12;17000000
2326;202012;1500268;12;Bank & Finance;190;12;17000000
67;202001;1500270;13;KONSTRUKSI;1476;12;2004700
245;202002;1500270;199;KONSTRUKSI;1476;12;2013000
421;202003;1500270;84;KONSTRUKSI;190;12;2009600
594;202004;1500270;6;KONSTRUKSI;190;12;2004700
762;202005;1500270;204;KONSTRUKSI;190;12;2002600
954;202006;1500270;23;KONSTRUKSI;190;12;2004300
1157;202007;1500270;15;KONSTRUKSI;190;12;2002700
1356;202008;1500270;20;KONSTRUKSI;190;12;2005600
1512;202009;1500270;17;KONSTRUKSI;190;12;2007100
1706;202010;1500270;113;KONSTRUKSI;190;12;2002600
2023;202011;1500270;42;KONSTRUKSI;190;12;2001900
2327;202012;1500270;23;KONSTRUKSI;190;12;2000600
68;202001;1500272;109;RETAIL;1981;13;17000000
246;202002;1500272;105;RETAIL;1981;13;17000000
422;202003;1500272;78;RETAIL;190;13;17000000
595;202004;1500272;6;RETAIL;190;13;17000000
763;202005;1500272;117;RETAIL;190;13;17000000
955;202006;1500272;22;RETAIL;190;13;17000000
1158;202007;1500272;157;RETAIL;190;13;17000000
1287;201901;1500272;220;RETAIL;190;13;17000000
1357;202008;1500272;11;RETAIL;190;13;17000000
1513;202009;1500272;3;RETAIL;190;13;17000000
1707;202010;1500272;112;RETAIL;190;13;17000000
2024;202011;1500272;42;RETAIL;190;13;17000000
2328;202012;1500272;12;RETAIL;190;13;17000000
69;202001;1500274;169;Bank & Finance;1953;12;23000000
247;202002;1500274;109;Bank & Finance;1953;12;23000000
423;202003;1500274;191;Bank & Finance;190;12;23000000
596;202004;1500274;7;Bank & Finance;190;12;23000000
764;202005;1500274;59;Bank & Finance;190;12;23000000
956;202006;1500274;26;Bank & Finance;190;12;23000000
1159;202007;1500274;31;Bank & Finance;190;12;23000000
1358;202008;1500274;11;Bank & Finance;190;12;23000000
1514;202009;1500274;46;Bank & Finance;190;12;23000000
1708;202010;1500274;115;Bank & Finance;190;12;23000000
2025;202011;1500274;41;Bank & Finance;190;12;23000000
2329;202012;1500274;5;Bank & Finance;190;12;23000000
70;202001;1500275;228;RETAIL;1460;12;69161100
248;202002;1500275;40;RETAIL;1460;12;70139900
424;202003;1500275;137;RETAIL;190;12;107206000
597;202004;1500275;5;RETAIL;190;12;92989300
765;202005;1500275;221;RETAIL;190;12;54383700
957;202006;1500275;141;RETAIL;190;12;66831300
1160;202007;1500275;7;RETAIL;190;12;57788300
1359;202008;1500275;6;RETAIL;190;12;50773800
1515;202009;1500275;18;RETAIL;190;12;55942000
1709;202010;1500275;115;RETAIL;190;12;56538900
2026;202011;1500275;41;RETAIL;190;12;61850600
2330;202012;1500275;7;RETAIL;190;12;82673300
71;202001;1500282;104;OTOMOTIF;1460;6;20060200
249;202002;1500282;36;OTOMOTIF;1460;6;18170900
425;202003;1500282;128;OTOMOTIF;190;6;17053800
598;202004;1500282;17;OTOMOTIF;190;6;17000000
766;202005;1500282;34;OTOMOTIF;190;6;17000000
958;202006;1500282;10;OTOMOTIF;190;6;13600000
72;202001;1500286;54;Bank & Finance;2009;1;81556200
73;202001;1500288;40;ELECTRONIC;2010;12;17000000
250;202002;1500288;13;ELECTRONIC;2010;12;17000000
426;202003;1500288;128;ELECTRONIC;190;12;17000000
599;202004;1500288;9;ELECTRONIC;190;12;17000000
767;202005;1500288;34;ELECTRONIC;190;12;17000000
959;202006;1500288;30;ELECTRONIC;190;12;17000000
1161;202007;1500288;191;ELECTRONIC;190;12;17000000
1360;202008;1500288;6;ELECTRONIC;190;12;17000000
1516;202009;1500288;181;ELECTRONIC;190;12;17000000
1710;202010;1500288;114;ELECTRONIC;190;12;17000000
2027;202011;1500288;41;ELECTRONIC;190;12;17000000
2331;202012;1500288;15;ELECTRONIC;190;12;17000000
74;202001;1500289;32;Bank & Finance;1460;12;17000000
251;202002;1500289;191;Bank & Finance;1460;12;17000000
427;202003;1500289;140;Bank & Finance;190;12;17000000
600;202004;1500289;14;Bank & Finance;190;12;17000000
768;202005;1500289;22;Bank & Finance;190;12;17000000
960;202006;1500289;17;Bank & Finance;190;12;17000000
1162;202007;1500289;121;Bank & Finance;190;12;17000000
1361;202008;1500289;65;Bank & Finance;190;12;17000000
1517;202009;1500289;119;Bank & Finance;190;12;17000000
1711;202010;1500289;122;Bank & Finance;190;12;17000000
2028;202011;1500289;57;Bank & Finance;190;12;17000000
2332;202012;1500289;24;Bank & Finance;190;12;17000000
75;202001;1500300;160;Bank & Finance;1705;12;31037900
252;202002;1500300;1;Bank & Finance;1705;12;27007000
428;202003;1500300;143;Bank & Finance;190;12;41077700
601;202004;1500300;9;Bank & Finance;190;12;35918600
769;202005;1500300;8;Bank & Finance;190;12;37490600
961;202006;1500300;20;Bank & Finance;190;12;32959300
1163;202007;1500300;7;Bank & Finance;190;12;31150900
1362;202008;1500300;45;Bank & Finance;190;12;30737900
1518;202009;1500300;22;Bank & Finance;190;12;27306400
1712;202010;1500300;115;Bank & Finance;190;12;25923600
2029;202011;1500300;53;Bank & Finance;190;12;27582900
2333;202012;1500300;13;Bank & Finance;190;12;30836100
1858;201905;1500304;43;Transportasi;190;2;31640200
1859;201906;1500304;18;Transportasi;190;2;2595294
76;202001;1500309;139;Bank & Finance;1067;12;3070400
253;202002;1500309;166;Bank & Finance;1067;12;2606200
429;202003;1500309;154;Bank & Finance;190;12;3129000
602;202004;1500309;21;Bank & Finance;190;12;5868200
770;202005;1500309;10;Bank & Finance;190;12;3531400
962;202006;1500309;151;Bank & Finance;190;12;2841700
1164;202007;1500309;10;Bank & Finance;190;12;2752700
1363;202008;1500309;3;Bank & Finance;190;12;2740800
1519;202009;1500309;30;Bank & Finance;190;12;2411000
1713;202010;1500309;244;Bank & Finance;190;12;2519300
2030;202011;1500309;48;Bank & Finance;190;12;2452800
2334;202012;1500309;6;Bank & Finance;190;12;2536700
77;202001;1500310;14;RETAIL;1220;12;19500000
254;202002;1500310;20;RETAIL;1220;12;19500000
430;202003;1500310;14;RETAIL;190;12;19500000
603;202004;1500310;9;RETAIL;190;12;19500000
771;202005;1500310;17;RETAIL;190;12;19500000
963;202006;1500310;154;RETAIL;190;12;19500000
1165;202007;1500310;14;RETAIL;190;12;19500000
1364;202008;1500310;12;RETAIL;190;12;19500000
1520;202009;1500310;22;RETAIL;190;12;19500000
1714;202010;1500310;31;RETAIL;190;12;19500000
2031;202011;1500310;33;RETAIL;190;12;19500000
2335;202012;1500310;3;RETAIL;190;12;19500000
78;202001;1500315;40;OTOMOTIF;1665;12;5298400
255;202002;1500315;9;OTOMOTIF;1665;12;4729100
431;202003;1500315;5;OTOMOTIF;190;12;5006200
604;202004;1500315;2;OTOMOTIF;190;12;4689200
772;202005;1500315;10;OTOMOTIF;190;12;4659700
964;202006;1500315;214;OTOMOTIF;190;12;4717700
1166;202007;1500315;14;OTOMOTIF;190;12;4227800
1365;202008;1500315;85;OTOMOTIF;190;12;6506900
1521;202009;1500315;30;OTOMOTIF;190;12;5000900
1715;202010;1500315;30;OTOMOTIF;190;12;4982100
2032;202011;1500315;33;OTOMOTIF;190;12;4584500
2336;202012;1500315;3;OTOMOTIF;190;12;4784000
79;202001;1500316;131;KONSTRUKSI;365;6;4006100
256;202002;1500316;44;KONSTRUKSI;365;6;4002000
432;202003;1500316;13;KONSTRUKSI;190;6;4076200
605;202004;1500316;63;KONSTRUKSI;190;6;4100200
773;202005;1500316;18;KONSTRUKSI;190;6;4092900
965;202006;1500316;16;KONSTRUKSI;190;6;3629520
80;202001;1500321;154;Bank & Finance;1953;12;109135100
257;202002;1500321;55;Bank & Finance;1953;12;103321200
433;202003;1500321;17;Bank & Finance;190;12;102101900
606;202004;1500321;21;Bank & Finance;190;12;105784000
774;202005;1500321;27;Bank & Finance;190;12;102404500
966;202006;1500321;84;Bank & Finance;190;12;113707300
1167;202007;1500321;11;Bank & Finance;190;12;104526300
1366;202008;1500321;85;Bank & Finance;190;12;92976900
1522;202009;1500321;98;Bank & Finance;190;12;100089900
1716;202010;1500321;73;Bank & Finance;190;12;83902100
2033;202011;1500321;48;Bank & Finance;190;12;94232400
2337;202012;1500321;4;Bank & Finance;190;12;97347800
81;202001;1500323;138;RETAIL;1460;12;3435900
258;202002;1500323;68;RETAIL;1460;12;3423400
434;202003;1500323;23;RETAIL;190;12;4075700
607;202004;1500323;13;RETAIL;190;12;4913700
775;202005;1500323;24;RETAIL;190;12;4765800
967;202006;1500323;70;RETAIL;190;12;5001300
1168;202007;1500323;339;RETAIL;190;12;4121100
1367;202008;1500323;63;RETAIL;190;12;4241000
1523;202009;1500323;279;RETAIL;190;12;3920100
1717;202010;1500323;184;RETAIL;190;12;4083700
2034;202011;1500323;48;RETAIL;190;12;3945900
2338;202012;1500323;4;RETAIL;190;12;3792600
82;202001;1500327;137;Bank & Finance;2009;12;88499100
259;202002;1500327;101;Bank & Finance;2009;12;85523300
435;202003;1500327;20;Bank & Finance;190;12;85062500
608;202004;1500327;7;Bank & Finance;190;12;86047300
776;202005;1500327;13;Bank & Finance;190;12;56073700
968;202006;1500327;141;Bank & Finance;190;12;25288600
1169;202007;1500327;102;Bank & Finance;190;12;23002100
1368;202008;1500327;63;Bank & Finance;190;12;17185700
1524;202009;1500327;280;Bank & Finance;190;12;17089700
1718;202010;1500327;72;Bank & Finance;190;12;17000000
2035;202011;1500327;48;Bank & Finance;190;12;17000000
2339;202012;1500327;4;Bank & Finance;190;12;17000000
1825;201908;1500330;4;Bank & Finance;190;13;4000000
1826;201909;1500330;56;Bank & Finance;190;13;4000000
1827;201910;1500330;49;Bank & Finance;190;13;4000000
1828;201911;1500330;8;Bank & Finance;190;13;4000000
1829;201912;1500330;19;Bank & Finance;190;13;4000000
1830;202001;1500330;6;Bank & Finance;190;13;4000000
1831;202002;1500330;97;Bank & Finance;190;13;4000000
1832;202003;1500330;60;Bank & Finance;190;13;4000000
1833;202004;1500330;68;Bank & Finance;190;13;4000000
1834;202005;1500330;68;Bank & Finance;190;13;4000000
1835;202006;1500330;45;Bank & Finance;190;13;4000000
1836;202007;1500330;67;Bank & Finance;190;13;4000000
1837;202008;1500330;10;Bank & Finance;190;13;4000000
1288;201901;1500332;19;Transportasi;190;3;6000000
1289;201902;1500332;113;Transportasi;190;3;6000000
1290;201903;1500332;141;Transportasi;190;3;6000000
83;202001;1500333;134;Bank & Finance;2009;13;17000000
260;202002;1500333;157;Bank & Finance;2009;13;17000000
436;202003;1500333;7;Bank & Finance;190;13;17000000
609;202004;1500333;14;Bank & Finance;190;13;17000000
777;202005;1500333;27;Bank & Finance;190;13;17000000
969;202006;1500333;148;Bank & Finance;190;13;17000000
1170;202007;1500333;103;Bank & Finance;190;13;17000000
1369;202008;1500333;63;Bank & Finance;190;13;17000000
1525;202009;1500333;279;Bank & Finance;190;13;17000000
1719;202010;1500333;176;Bank & Finance;190;13;17000000
1874;201901;1500333;48;Bank & Finance;190;13;17000000
2036;202011;1500333;48;Bank & Finance;190;13;17000000
2340;202012;1500333;4;Bank & Finance;190;13;17000000
84;202001;1500334;138;ELECTRONIC;2010;12;17000000
261;202002;1500334;23;ELECTRONIC;2010;12;17000000
437;202003;1500334;21;ELECTRONIC;190;12;17000000
610;202004;1500334;43;ELECTRONIC;190;12;17000000
778;202005;1500334;27;ELECTRONIC;190;12;17000000
970;202006;1500334;79;ELECTRONIC;190;12;17000000
1171;202007;1500334;75;ELECTRONIC;190;12;17000000
1370;202008;1500334;84;ELECTRONIC;190;12;17000000
1526;202009;1500334;270;ELECTRONIC;190;12;17000000
1720;202010;1500334;2;ELECTRONIC;190;12;17000000
2037;202011;1500334;48;ELECTRONIC;190;12;17000000
2341;202012;1500334;64;ELECTRONIC;190;12;17000000
85;202001;1500336;143;Bank & Finance;1705;12;3553500
262;202002;1500336;75;Bank & Finance;1705;12;3371500
438;202003;1500336;4;Bank & Finance;190;12;3997600
611;202004;1500336;4;Bank & Finance;190;12;3845000
779;202005;1500336;34;Bank & Finance;190;12;3379500
971;202006;1500336;51;Bank & Finance;190;12;3607800
1172;202007;1500336;84;Bank & Finance;190;12;3633200
1371;202008;1500336;63;Bank & Finance;190;12;4498500
1527;202009;1500336;29;Bank & Finance;190;12;4029200
1721;202010;1500336;10;Bank & Finance;190;12;3698800
2038;202011;1500336;48;Bank & Finance;190;12;3441600
2342;202012;1500336;83;Bank & Finance;190;12;3622900
86;202001;1500343;153;OTOMOTIF;1460;6;17849100
263;202002;1500343;24;OTOMOTIF;1460;6;18214500
439;202003;1500343;7;OTOMOTIF;190;6;25302500
612;202004;1500343;5;OTOMOTIF;190;6;75065700
780;202005;1500343;42;OTOMOTIF;190;6;38319600
972;202006;1500343;94;OTOMOTIF;190;6;22571520
87;202001;1500345;100;RETAIL;1460;12;28657100
264;202002;1500345;9;RETAIL;1460;12;27632700
440;202003;1500345;7;RETAIL;190;12;26902100
613;202004;1500345;38;RETAIL;190;12;18876800
781;202005;1500345;19;RETAIL;190;12;17000000
973;202006;1500345;60;RETAIL;190;12;20144800
1173;202007;1500345;43;RETAIL;190;12;19590800
1372;202008;1500345;5;RETAIL;190;12;17857900
1528;202009;1500345;24;RETAIL;190;12;18651400
1722;202010;1500345;2;RETAIL;190;12;18828000
2039;202011;1500345;48;RETAIL;190;12;21442000
2343;202012;1500345;22;RETAIL;190;12;21161500
88;202001;1500351;125;Bank & Finance;2008;12;18316000
265;202002;1500351;42;Bank & Finance;2008;12;17000000
441;202003;1500351;15;Bank & Finance;190;12;17000000
614;202004;1500351;40;Bank & Finance;190;12;51923800
782;202005;1500351;20;Bank & Finance;190;12;40861100
974;202006;1500351;16;Bank & Finance;190;12;22298400
1174;202007;1500351;112;Bank & Finance;190;12;17000000
1373;202008;1500351;23;Bank & Finance;190;12;17000000
1529;202009;1500351;11;Bank & Finance;190;12;17380600
1723;202010;1500351;71;Bank & Finance;190;12;17000000
2040;202011;1500351;57;Bank & Finance;190;12;17000000
2344;202012;1500351;7;Bank & Finance;190;12;19308800
89;202001;1500355;48;Bank & Finance;2009;12;17000000
266;202002;1500355;12;Bank & Finance;2009;12;17000000
442;202003;1500355;14;Bank & Finance;190;12;17000000
615;202004;1500355;18;Bank & Finance;190;12;17000000
783;202005;1500355;9;Bank & Finance;190;12;17000000
975;202006;1500355;111;Bank & Finance;190;12;17000000
1175;202007;1500355;44;Bank & Finance;190;12;17000000
1374;202008;1500355;16;Bank & Finance;190;12;17000000
1530;202009;1500355;24;Bank & Finance;190;12;17000000
1724;202010;1500355;183;Bank & Finance;190;12;17000000
2041;202011;1500355;39;Bank & Finance;190;12;17000000
2345;202012;1500355;15;Bank & Finance;190;12;17000000
90;202001;1500359;48;KONSTRUKSI;365;5;3506350
267;202002;1500359;7;KONSTRUKSI;365;5;3504567
443;202003;1500359;14;KONSTRUKSI;190;5;2154293
1875;201903;1500359;69;KONSTRUKSI;190;5;1354838
1876;201904;1500359;30;KONSTRUKSI;190;5;3500000
91;202001;1500365;33;Bank & Finance;1705;12;84304200
268;202002;1500365;126;Bank & Finance;1705;12;83492100
444;202003;1500365;21;Bank & Finance;190;12;101283700
616;202004;1500365;12;Bank & Finance;190;12;121103900
784;202005;1500365;13;Bank & Finance;190;12;98439400
976;202006;1500365;106;Bank & Finance;190;12;97802500
1176;202007;1500365;45;Bank & Finance;190;12;114069300
1375;202008;1500365;287;Bank & Finance;190;12;99520300
1531;202009;1500365;87;Bank & Finance;190;12;111917900
1725;202010;1500365;71;Bank & Finance;190;12;100268500
2042;202011;1500365;46;Bank & Finance;190;12;113816100
2346;202012;1500365;19;Bank & Finance;190;12;103948000
92;202001;1500369;12;KONSTRUKSI;2010;12;19650000
269;202002;1500369;59;KONSTRUKSI;2010;12;19650000
445;202003;1500369;19;KONSTRUKSI;190;12;19650000
617;202004;1500369;3;KONSTRUKSI;190;12;19650000
785;202005;1500369;5;KONSTRUKSI;190;12;19650000
977;202006;1500369;13;KONSTRUKSI;190;12;19650000
1177;202007;1500369;35;KONSTRUKSI;190;12;19650000
1376;202008;1500369;287;KONSTRUKSI;190;12;19650000
1532;202009;1500369;127;KONSTRUKSI;190;12;19650000
1726;202010;1500369;70;KONSTRUKSI;190;12;19650000
2043;202011;1500369;43;KONSTRUKSI;190;12;19650000
2347;202012;1500369;18;KONSTRUKSI;190;12;19650000
93;202001;1500388;8;ELECTRONIC;1460;12;23000000
270;202002;1500388;43;ELECTRONIC;1460;12;23000000
446;202003;1500388;1;ELECTRONIC;190;12;23000000
618;202004;1500388;7;ELECTRONIC;190;12;23000000
786;202005;1500388;7;ELECTRONIC;190;12;23000000
978;202006;1500388;15;ELECTRONIC;190;12;23000000
1178;202007;1500388;82;ELECTRONIC;190;12;23000000
1377;202008;1500388;210;ELECTRONIC;190;12;23000000
1533;202009;1500388;128;ELECTRONIC;190;12;23000000
1727;202010;1500388;70;ELECTRONIC;190;12;23000000
2044;202011;1500388;46;ELECTRONIC;190;12;23000000
2348;202012;1500388;20;ELECTRONIC;190;12;23000000
94;202001;1500396;4;OTOMOTIF;995;12;9300700
271;202002;1500396;25;OTOMOTIF;995;12;10785200
447;202003;1500396;1;OTOMOTIF;190;12;16752800
619;202004;1500396;224;OTOMOTIF;190;12;19568000
787;202005;1500396;9;OTOMOTIF;190;12;6255300
979;202006;1500396;13;OTOMOTIF;190;12;5747500
1179;202007;1500396;45;OTOMOTIF;190;12;6264200
1378;202008;1500396;10;OTOMOTIF;190;12;7441800
1534;202009;1500396;28;OTOMOTIF;190;12;6043500
1728;202010;1500396;28;OTOMOTIF;190;12;6294700
2045;202011;1500396;55;OTOMOTIF;190;12;7300100
2349;202012;1500396;20;OTOMOTIF;190;12;11681300
1877;201901;1500397;258;Bank & Finance;190;1;2825000
95;202001;1500399;6;Bank & Finance;2010;12;18000000
272;202002;1500399;29;Bank & Finance;2010;12;18000000
448;202003;1500399;93;Bank & Finance;190;12;18000000
620;202004;1500399;8;Bank & Finance;190;12;18000000
788;202005;1500399;6;Bank & Finance;190;12;18000000
980;202006;1500399;24;Bank & Finance;190;12;18000000
1180;202007;1500399;38;Bank & Finance;190;12;18000000
1379;202008;1500399;31;Bank & Finance;190;12;18000000
1535;202009;1500399;24;Bank & Finance;190;12;18000000
1729;202010;1500399;42;Bank & Finance;190;12;18000000
2046;202011;1500399;41;Bank & Finance;190;12;18000000
2350;202012;1500399;11;Bank & Finance;190;12;18000000
96;202001;1500400;5;Bank & Finance;1095;12;376922700
273;202002;1500400;22;Bank & Finance;1095;12;277448300
449;202003;1500400;15;Bank & Finance;190;12;462729200
621;202004;1500400;14;Bank & Finance;190;12;627238800
789;202005;1500400;10;Bank & Finance;190;12;441771600
981;202006;1500400;20;Bank & Finance;190;12;407148500
1181;202007;1500400;29;Bank & Finance;190;12;336242400
1380;202008;1500400;29;Bank & Finance;190;12;353946000
1536;202009;1500400;135;Bank & Finance;190;12;410691200
1730;202010;1500400;41;Bank & Finance;190;12;448176400
2047;202011;1500400;39;Bank & Finance;190;12;464773600
2351;202012;1500400;11;Bank & Finance;190;12;340762597
1878;201901;1500437;80;Bank & Finance;190;1;2825000
97;202001;1500442;3;KONSTRUKSI;365;5;2000000
274;202002;1500442;35;KONSTRUKSI;365;5;2000000
450;202003;1500442;21;KONSTRUKSI;190;5;903226
1860;201903;1500442;27;KONSTRUKSI;190;5;1096774
1861;201904;1500442;27;KONSTRUKSI;190;5;2000000
98;202001;1500448;13;Bank & Finance;1705;12;2144200
275;202002;1500448;92;Bank & Finance;1705;12;2155200
451;202003;1500448;6;Bank & Finance;190;12;2107900
622;202004;1500448;77;Bank & Finance;190;12;2066800
790;202005;1500448;35;Bank & Finance;190;12;2053500
982;202006;1500448;19;Bank & Finance;190;12;2076600
1182;202007;1500448;34;Bank & Finance;190;12;2076600
1381;202008;1500448;122;Bank & Finance;190;12;2125400
1537;202009;1500448;48;Bank & Finance;190;12;2126500
1731;202010;1500448;149;Bank & Finance;190;12;2218300
2048;202011;1500448;41;Bank & Finance;190;12;2144400
2352;202012;1500448;6;Bank & Finance;190;12;2140100
99;202001;1500450;24;Bank & Finance;2004;12;2008900
276;202002;1500450;31;Bank & Finance;2004;12;2038500
452;202003;1500450;14;Bank & Finance;190;12;2010100
623;202004;1500450;48;Bank & Finance;190;12;2023200
791;202005;1500450;31;Bank & Finance;190;12;2012600
983;202006;1500450;11;Bank & Finance;190;12;2013500
1183;202007;1500450;148;Bank & Finance;190;12;2016100
1382;202008;1500450;75;Bank & Finance;190;12;2014300
1538;202009;1500450;45;Bank & Finance;190;12;2011700
1732;202010;1500450;92;Bank & Finance;190;12;2015100
2049;202011;1500450;41;Bank & Finance;190;12;2012900
2353;202012;1500450;6;Bank & Finance;190;12;2011000
100;202001;1500456;5;Bank & Finance;2004;12;18032600
277;202002;1500456;32;Bank & Finance;2004;12;14447500
453;202003;1500456;14;Bank & Finance;190;12;14435500
624;202004;1500456;82;Bank & Finance;190;12;13290100
792;202005;1500456;36;Bank & Finance;190;12;12735800
984;202006;1500456;10;Bank & Finance;190;12;15071000
1184;202007;1500456;13;Bank & Finance;190;12;16061800
1383;202008;1500456;127;Bank & Finance;190;12;13523000
1539;202009;1500456;56;Bank & Finance;190;12;14314400
1733;202010;1500456;25;Bank & Finance;190;12;11938700
2050;202011;1500456;41;Bank & Finance;190;12;12763100
2354;202012;1500456;65;Bank & Finance;190;12;11925200
101;202001;1500462;14;MEDIS;1189;12;2064400
278;202002;1500462;22;MEDIS;1189;12;2097600
454;202003;1500462;13;MEDIS;190;12;2099500
625;202004;1500462;5;MEDIS;190;12;2127700
793;202005;1500462;14;MEDIS;190;12;2050100
985;202006;1500462;22;MEDIS;190;12;2031500
1185;202007;1500462;188;MEDIS;190;12;2009400
