aging,subscribe,order,Tagihan
38,2010,12,18000000
287,190,12,18000000
49,190,12,18000000
184,190,12,18000000
3,190,12,18000000
18,190,12,18000000
1,190,12,18000000
211,190,12,18000000
8,190,12,18000000
10,190,12,18000000
114,190,12,18000000
132,1494,2,2000200
27,1494,2,2000900
14,190,3,4446900
27,190,3,4114700
36,190,3,687000
133,1592,12,2600000
99,1592,12,2600000
210,190,12,2600000
38,190,12,2600000
72,190,12,2600000
3,190,12,2604100
18,190,12,2602400
3,190,12,2600000
12,190,12,2600000
1,190,12,2600000
48,190,12,2600000
3,190,12,2600000
42,2010,12,18000000
5,2010,12,18000000
10,190,12,18000000
41,190,12,18000000
176,190,12,18000000
3,190,12,18000000
10,190,12,18000000
4,190,12,18000000
21,190,12,18000000
13,190,12,18000000
14,190,12,18000000
1,190,12,18000000
42,2010,12,296029300
6,2010,12,267819700
31,190,12,312444500
119,190,12,346878400
2,190,12,289615200
3,190,12,308207100
7,190,12,277630500
5,190,12,259622500
115,190,12,276368600
2,190,12,247814400
14,190,12,230439400
114,190,12,226393800
42,1460,11,93364200
20,1460,11,74179700
29,190,11,71966800
38,190,11,51389300
10,190,11,51697700
3,190,11,55156200
38,190,11,49982400
23,190,11,51747000
108,190,11,52778100
50,190,11,58351900
20,190,11,54968700
42,2010,12,18000000
17,2010,12,18000000
122,190,12,18000000
24,190,12,18000000
2,190,12,18000000
1,190,12,18000000
20,190,12,18000000
7,190,12,18000000
48,190,12,18000000
8,190,12,18000000
39,190,12,18000000
16,190,12,18000000
38,190,1,102225800
35,190,1,2352813
42,2038,12,231809300
69,2038,12,221049600
75,190,12,224803000
24,190,12,194531800
71,190,12,143229800
3,190,12,180429800
35,190,12,189776700
62,190,12,175652700
143,190,12,184859000
8,190,12,173877400
18,190,12,179597100
27,190,12,162990600
42,1460,12,17000000
70,1460,12,17000000
127,190,12,17000000
24,190,12,17000000
183,190,12,17000000
3,190,12,17000000
4,190,12,17000000
61,190,12,17000000
38,190,12,17000000
8,190,12,17000000
84,190,12,17000000
15,190,12,17000000
42,1460,12,18982100
69,1460,12,17000000
274,190,12,17000000
32,190,12,17000000
71,190,12,17000000
3,190,12,17000000
2,190,12,17000000
7,190,12,17000000
73,190,12,17000000
10,190,12,17000000
14,190,12,17000000
20,190,12,17000000
42,1681,12,37326800
5,1681,12,41238000
128,190,12,44952900
38,190,12,50678100
70,190,12,45017500
4,190,12,53307600
17,190,12,45585900
83,190,12,41128900
76,190,12,47776000
1,190,12,41201000
50,190,12,43981100
99,190,12,39483700
41,1681,12,2825800
7,1681,12,3104300
38,190,12,3360200
18,190,12,3715100
70,190,12,3001800
8,190,12,4535700
16,190,12,4187700
38,190,12,4090900
53,190,12,3710400
7,190,12,3290000
30,190,12,3619000
6,190,12,2756500
41,2009,13,17000000
17,2009,13,17000000
134,190,13,17000000
8,190,13,17000000
28,190,13,17000000
8,190,13,17000000
24,190,13,17000000
24,190,13,17000000
22,190,13,17000000
53,190,13,17000000
18,190,13,17000000
32,190,13,17000000
6,190,13,17000000
41,2009,12,62651400
10,2009,12,56730300
208,190,12,63133200
44,190,12,61882200
42,190,12,50976000
4,190,12,53778600
1,190,12,61026700
2,190,12,58659100
35,190,12,62221100
7,190,12,57184400
32,190,12,62727400
8,190,12,65660600
57,1460,12,4824200
17,1460,12,4097500
150,190,12,4705100
3,190,12,4726000
41,190,12,4430000
4,190,12,6011700
3,190,12,4924000
17,190,12,5044100
18,190,12,4800300
7,190,12,3960100
39,190,12,4295700
20,190,12,4228500
53,1079,17,11250000
6,1079,17,11250000
231,190,17,11250000
25,190,17,11250000
149,190,17,11250000
8,190,17,11250000
16,190,17,11250000
50,190,17,11250000
30,190,17,11250000
39,190,17,11250000
30,190,17,11250000
21,190,17,11250000
13,190,17,11250000
14,190,17,11250000
99,190,17,11250000
279,190,17,11250000
23,190,17,2903226
48,1460,12,39921100
50,1460,12,39419400
161,190,12,39331400
2,190,12,38517000
92,190,12,49699900
8,190,12,40748300
4,190,12,36424200
12,190,12,36770500
229,190,12,53227700
10,190,12,39506900
39,190,12,44661900
7,190,12,40595000
33,1695,12,6500000
140,1695,12,6500000
26,190,12,6500000
5,190,12,6500000
25,190,12,6500000
7,190,12,6500000
37,190,12,6500000
23,190,12,6500000
271,190,12,6500000
100,190,12,6500000
20,190,12,6500000
10,190,12,6500000
33,2009,12,18660300
2,2009,12,17000000
48,190,12,17000000
4,190,12,17000000
44,190,12,17000000
7,190,12,17000000
51,190,12,17000000
12,190,12,17000000
39,190,12,17000000
19,190,12,17000000
98,190,12,17000000
20,190,12,17000000
48,2038,12,17000000
273,2038,12,17000000
159,190,12,17000000
1,190,12,17000000
47,190,12,17000000
5,190,12,17000000
33,190,12,17000000
5,190,12,17000000
35,190,12,17000000
7,190,12,17000000
36,190,12,17000000
13,190,12,17000000
48,1688,12,3500000
149,1688,12,3500000
145,190,12,3500000
3,190,12,3500000
47,190,12,3500000
5,190,12,3500000
43,190,12,3500000
7,190,12,3500000
141,190,12,3500000
16,190,12,3500000
33,190,12,3500000
25,190,12,3500000
35,190,1,1935483
48,2009,12,17000000
9,2009,12,17000000
145,190,12,18170200
4,190,12,18774000
47,190,12,17000000
7,190,12,17252900
25,190,12,17000000
15,190,12,17000000
167,190,12,17000000
8,190,12,17000000
35,190,12,17000000
50,190,12,17000000
48,2009,12,17000000
20,2009,12,17000000
145,190,12,17000000
3,190,12,17000000
47,190,12,17000000
7,190,12,17000000
33,190,12,17000000
24,190,12,17000000
73,190,12,17000000
6,190,12,17000000
51,190,12,17000000
68,190,12,17000000
32,190,1,1935870
48,791,22,2073500
10,791,22,2029200
20,190,22,2085500
66,190,22,2031000
44,190,22,2032600
8,190,22,2054800
93,190,22,2043500
13,190,22,2068000
63,190,22,2047700
20,190,22,2082200
36,190,22,2000000
34,190,22,2006000
7,190,22,2014600
7,190,22,2012300
36,190,22,2028600
7,190,22,2028000
9,190,22,2018200
20,190,22,2028000
21,190,22,2018200
75,190,22,2032700
162,190,22,2069000
1,190,22,2079500
48,1552,12,2000000
6,1552,12,2000000
143,190,12,2000000
80,190,12,2000000
44,190,12,2000000
11,190,12,2000000
149,190,12,2000000
6,190,12,2000000
272,190,12,2000000
177,190,12,2000000
61,190,12,2000000
3,190,12,2000000
48,1609,12,2001200
4,1609,12,2002000
134,190,12,2003100
49,190,12,2002000
44,190,12,2006500
10,190,12,2000900
56,190,12,2002600
3,190,12,2001100
71,190,12,2002200
10,190,12,2000900
70,190,12,2005900
4,190,12,2004400
45,190,2,2151600
42,190,2,1293300
57,1749,12,4638500
21,1749,12,3459400
171,190,12,3565000
52,190,12,3093000
49,190,12,2921200
10,190,12,3287100
47,190,12,3651400
3,190,12,3723300
286,190,12,3303200
16,190,12,2816200
55,190,12,2985500
5,190,12,3200800
39,2038,12,62142300
35,2038,12,60585300
148,190,12,52636600
11,190,12,49793600
40,190,12,49559600
7,190,12,58314700
14,190,12,60949000
4,190,12,54690700
68,190,12,59240100
16,190,12,55561400
42,190,12,57472300
23,190,12,56652600
46,1548,12,2000000
23,1548,12,2000000
124,190,12,2000000
24,190,12,2000000
43,190,12,2000000
7,190,12,2000000
16,190,12,2000000
4,190,12,2000000
19,190,12,2000000
16,190,12,2000000
24,190,12,2000000
7,190,12,2000000
8,190,2,17000000
11,190,2,17000000
43,190,1,1986696
43,2038,12,17000000
147,2038,12,17000000
21,190,12,17000000
119,190,12,17000000
35,190,12,17000000
7,190,12,17000000
11,190,12,17000000
4,190,12,17000000
16,190,12,17000000
5,190,12,17000000
24,190,12,17000000
62,190,12,17000000
38,190,24,23000000
81,190,24,23000000
51,190,24,23000000
81,190,24,23000000
1,190,24,23000000
1,190,24,23000000
1,190,24,23000000
29,190,24,23000000
41,190,24,23000000
6,190,24,23000000
1,190,24,23000000
1,190,24,23000000
41,190,24,23000000
43,190,24,23000000
26,190,24,23000000
25,190,24,23000000
12,190,24,23000000
11,190,24,23000000
15,190,24,23000000
50,190,24,23000000
42,190,24,23000000
42,190,24,23000000
105,190,24,23000000
107,190,24,23000000
46,1460,12,17000000
36,1460,12,17000000
225,190,12,17000000
101,190,12,17000000
64,190,12,17000000
11,190,12,17000000
3,190,12,17000000
4,190,12,17000000
44,190,12,17000000
2,190,12,17000000
132,190,12,17000000
61,190,12,17000000
55,1552,12,2000400
22,1552,12,2001200
7,190,12,2001700
15,190,12,2000000
52,190,12,2000000
11,190,12,2000000
14,190,12,2008100
64,190,12,2000300
47,190,12,2001800
26,190,12,2000000
132,190,12,2000000
7,190,12,2000000
41,1245,12,3500000
43,1245,12,3500000
8,190,12,3500000
67,190,12,3500000
58,190,12,3500000
11,190,12,3500000
25,190,12,3500000
83,190,12,3500000
84,190,12,3500000
12,190,12,3500000
133,190,12,3500000
83,190,12,3500000
39,1674,12,11250000
43,1674,12,11250000
1,190,12,11250000
106,190,12,11250000
56,190,12,11250000
11,190,12,11250000
238,190,12,11250000
22,190,12,11250000
149,190,12,11250000
3,190,12,11250000
42,190,12,11250000
38,190,12,11250000
41,1667,12,2407383
36,1667,12,2428567
10,190,12,3257550
9,190,12,2570167
63,190,12,2306450
6,190,12,2344767
238,190,12,2379350
7,190,12,2522817
19,190,12,2632133
113,190,12,2833733
42,190,12,2830150
22,190,12,6509500
41,979,15,11162400
21,979,15,10788100
87,190,15,10081000
18,190,15,8823300
104,190,15,7899500
23,190,15,8834800
238,190,15,8750000
238,190,15,13026500
22,190,15,12388700
21,190,15,2000000
15,190,15,8177300
15,190,15,8446300
112,190,15,7700700
42,190,15,8066100
2,190,15,7418600
41,730,13,2000000
259,730,13,2000000
48,190,13,2000000
40,190,13,2000000
19,190,13,2000000
30,190,13,2000000
18,190,13,2000000
19,190,13,2000000
41,190,13,2000000
113,190,13,2000000
167,190,13,1333333
42,190,13,2000000
17,190,13,2000000
39,2009,12,17000000
98,2009,12,17000000
112,190,12,17000000
8,190,12,17000000
64,190,12,17000000
13,190,12,17000000
43,190,12,17000000
18,190,12,17000000
39,190,12,17000000
113,190,12,17000000
42,190,12,17000000
23,190,12,17000000
46,190,1,4998600
41,2038,12,17000000
94,2038,12,17000000
97,190,12,17000000
16,190,12,17000000
118,190,12,17000000
37,190,12,17000000
22,190,12,17000000
20,190,12,17000000
41,190,12,17000000
113,190,12,17000000
42,190,12,17000000
12,190,12,17000000
13,1476,12,2004700
199,1476,12,2013000
84,190,12,2009600
6,190,12,2004700
204,190,12,2002600
23,190,12,2004300
15,190,12,2002700
20,190,12,2005600
17,190,12,2007100
113,190,12,2002600
42,190,12,2001900
23,190,12,2000600
109,1981,13,17000000
105,1981,13,17000000
78,190,13,17000000
6,190,13,17000000
117,190,13,17000000
22,190,13,17000000
157,190,13,17000000
220,190,13,17000000
11,190,13,17000000
3,190,13,17000000
112,190,13,17000000
42,190,13,17000000
12,190,13,17000000
169,1953,12,23000000
109,1953,12,23000000
191,190,12,23000000
7,190,12,23000000
59,190,12,23000000
26,190,12,23000000
31,190,12,23000000
11,190,12,23000000
46,190,12,23000000
115,190,12,23000000
41,190,12,23000000
5,190,12,23000000
228,1460,12,69161100
40,1460,12,70139900
137,190,12,107206000
5,190,12,92989300
221,190,12,54383700
141,190,12,66831300
7,190,12,57788300
6,190,12,50773800
18,190,12,55942000
115,190,12,56538900
41,190,12,61850600
7,190,12,82673300
104,1460,6,20060200
36,1460,6,18170900
128,190,6,17053800
17,190,6,17000000
34,190,6,17000000
10,190,6,13600000
54,2009,1,81556200
40,2010,12,17000000
13,2010,12,17000000
128,190,12,17000000
9,190,12,17000000
34,190,12,17000000
30,190,12,17000000
191,190,12,17000000
6,190,12,17000000
181,190,12,17000000
114,190,12,17000000
41,190,12,17000000
15,190,12,17000000
32,1460,12,17000000
191,1460,12,17000000
140,190,12,17000000
14,190,12,17000000
22,190,12,17000000
17,190,12,17000000
121,190,12,17000000
65,190,12,17000000
119,190,12,17000000
122,190,12,17000000
57,190,12,17000000
24,190,12,17000000
160,1705,12,31037900
1,1705,12,27007000
143,190,12,41077700
9,190,12,35918600
8,190,12,37490600
20,190,12,32959300
7,190,12,31150900
45,190,12,30737900
22,190,12,27306400
115,190,12,25923600
53,190,12,27582900
13,190,12,30836100
43,190,2,31640200
18,190,2,2595294
139,1067,12,3070400
166,1067,12,2606200
154,190,12,3129000
21,190,12,5868200
10,190,12,3531400
151,190,12,2841700
10,190,12,2752700
3,190,12,2740800
30,190,12,2411000
244,190,12,2519300
48,190,12,2452800
6,190,12,2536700
14,1220,12,19500000
20,1220,12,19500000
14,190,12,19500000
9,190,12,19500000
17,190,12,19500000
154,190,12,19500000
14,190,12,19500000
12,190,12,19500000
22,190,12,19500000
31,190,12,19500000
33,190,12,19500000
3,190,12,19500000
40,1665,12,5298400
9,1665,12,4729100
5,190,12,5006200
2,190,12,4689200
10,190,12,4659700
214,190,12,4717700
14,190,12,4227800
85,190,12,6506900
30,190,12,5000900
30,190,12,4982100
33,190,12,4584500
3,190,12,4784000
131,365,6,4006100
44,365,6,4002000
13,190,6,4076200
63,190,6,4100200
18,190,6,4092900
16,190,6,3629520
154,1953,12,109135100
55,1953,12,103321200
17,190,12,102101900
21,190,12,105784000
27,190,12,102404500
84,190,12,113707300
11,190,12,104526300
85,190,12,92976900
98,190,12,100089900
73,190,12,83902100
48,190,12,94232400
4,190,12,97347800
138,1460,12,3435900
68,1460,12,3423400
23,190,12,4075700
13,190,12,4913700
24,190,12,4765800
70,190,12,5001300
339,190,12,4121100
63,190,12,4241000
279,190,12,3920100
184,190,12,4083700
48,190,12,3945900
4,190,12,3792600
137,2009,12,88499100
101,2009,12,85523300
20,190,12,85062500
7,190,12,86047300
13,190,12,56073700
141,190,12,25288600
102,190,12,23002100
63,190,12,17185700
280,190,12,17089700
72,190,12,17000000
48,190,12,17000000
4,190,12,17000000
4,190,13,4000000
56,190,13,4000000
49,190,13,4000000
8,190,13,4000000
19,190,13,4000000
6,190,13,4000000
97,190,13,4000000
60,190,13,4000000
68,190,13,4000000
68,190,13,4000000
45,190,13,4000000
67,190,13,4000000
10,190,13,4000000
19,190,3,6000000
113,190,3,6000000
141,190,3,6000000
134,2009,13,17000000
157,2009,13,17000000
7,190,13,17000000
14,190,13,17000000
27,190,13,17000000
148,190,13,17000000
103,190,13,17000000
63,190,13,17000000
279,190,13,17000000
176,190,13,17000000
48,190,13,17000000
48,190,13,17000000
4,190,13,17000000
138,2010,12,17000000
23,2010,12,17000000
21,190,12,17000000
43,190,12,17000000
27,190,12,17000000
79,190,12,17000000
75,190,12,17000000
84,190,12,17000000
270,190,12,17000000
2,190,12,17000000
48,190,12,17000000
64,190,12,17000000
143,1705,12,3553500
75,1705,12,3371500
4,190,12,3997600
4,190,12,3845000
34,190,12,3379500
51,190,12,3607800
84,190,12,3633200
63,190,12,4498500
29,190,12,4029200
10,190,12,3698800
48,190,12,3441600
83,190,12,3622900
153,1460,6,17849100
24,1460,6,18214500
7,190,6,25302500
5,190,6,75065700
42,190,6,38319600
94,190,6,22571520
100,1460,12,28657100
9,1460,12,27632700
7,190,12,26902100
38,190,12,18876800
19,190,12,17000000
60,190,12,20144800
43,190,12,19590800
5,190,12,17857900
24,190,12,18651400
2,190,12,18828000
48,190,12,21442000
22,190,12,21161500
125,2008,12,18316000
42,2008,12,17000000
15,190,12,17000000
40,190,12,51923800
20,190,12,40861100
16,190,12,22298400
112,190,12,17000000
23,190,12,17000000
11,190,12,17380600
71,190,12,17000000
57,190,12,17000000
7,190,12,19308800
48,2009,12,17000000
12,2009,12,17000000
14,190,12,17000000
18,190,12,17000000
9,190,12,17000000
111,190,12,17000000
44,190,12,17000000
16,190,12,17000000
24,190,12,17000000
183,190,12,17000000
39,190,12,17000000
15,190,12,17000000
48,365,5,3506350
7,365,5,3504567
14,190,5,2154293
69,190,5,1354838
30,190,5,3500000
33,1705,12,84304200
126,1705,12,83492100
21,190,12,101283700
12,190,12,121103900
13,190,12,98439400
106,190,12,97802500
45,190,12,114069300
287,190,12,99520300
87,190,12,111917900
71,190,12,100268500
46,190,12,113816100
19,190,12,103948000
12,2010,12,19650000
59,2010,12,19650000
19,190,12,19650000
3,190,12,19650000
5,190,12,19650000
13,190,12,19650000
35,190,12,19650000
287,190,12,19650000
127,190,12,19650000
70,190,12,19650000
43,190,12,19650000
18,190,12,19650000
8,1460,12,23000000
43,1460,12,23000000
1,190,12,23000000
7,190,12,23000000
7,190,12,23000000
15,190,12,23000000
82,190,12,23000000
210,190,12,23000000
128,190,12,23000000
70,190,12,23000000
46,190,12,23000000
20,190,12,23000000
4,995,12,9300700
25,995,12,10785200
1,190,12,16752800
224,190,12,19568000
9,190,12,6255300
13,190,12,5747500
45,190,12,6264200
10,190,12,7441800
28,190,12,6043500
28,190,12,6294700
55,190,12,7300100
20,190,12,11681300
258,190,1,2825000
6,2010,12,18000000
29,2010,12,18000000
93,190,12,18000000
8,190,12,18000000
6,190,12,18000000
24,190,12,18000000
38,190,12,18000000
31,190,12,18000000
24,190,12,18000000
42,190,12,18000000
41,190,12,18000000
11,190,12,18000000
5,1095,12,376922700
22,1095,12,277448300
15,190,12,462729200
14,190,12,627238800
10,190,12,441771600
20,190,12,407148500
29,190,12,336242400
29,190,12,353946000
135,190,12,410691200
41,190,12,448176400
39,190,12,464773600
11,190,12,340762597
80,190,1,2825000
3,365,5,2000000
35,365,5,2000000
21,190,5,903226
27,190,5,1096774
27,190,5,2000000
13,1705,12,2144200
92,1705,12,2155200
6,190,12,2107900
77,190,12,2066800
35,190,12,2053500
19,190,12,2076600
34,190,12,2076600
122,190,12,2125400
48,190,12,2126500
149,190,12,2218300
41,190,12,2144400
6,190,12,2140100
24,2004,12,2008900
31,2004,12,2038500
14,190,12,2010100
48,190,12,2023200
